file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,58,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,18
style.css,59,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,12
style.css,60,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,10
style.css,61,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,62,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,63,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,10
style.css,64,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,12
style.css,65,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,9
style.css,66,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,67,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,68,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,9
style.css,69,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,13
style.css,70,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,10
style.css,71,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,21
style.css,72,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,13
style.css,73,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,74,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,75,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,13
style.css,76,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,15
style.css,77,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,78,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,0
style.css,79,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,0,11
style.css,80,css,2ed439bb,Amrutha Potluri,2025-10-10,18:36:42,-07:00,2025-10-10T18:36:42-07:00,1,10
